"Region-2013 data, 2013 report",23wk,24wk,25wk,26wk,Jun 30 to Jul 6 (27wk),1wk to 28wk,28wk,29wk,30wk,31wk,Aug 4 to Aug 10 (32wk),1wk to 32wk,48wk,49wk,50wk,51wk,Dec 22 to 31 (52wk),1wk to 52wk
Region01,119,164,180,148,199,1978,490,547,428,274,394,4063,214,173,69,51wk,NA,15468
Region02,75,84,31,11,142,2676,228,112,25,6,3,3987,65,45,24,7,NA,15006
Region03,159,195,158,25,197,3969,606,577,561,443,346,6795,556,622,476,177,15,19089
Region04A,204,256,658,576,617,7762,1234,1096,1054,806,697,12649,161,316,374,197,65,28147
Region04B,166,113,92,16,19,1721,129,143,83,25,25,2481,32,28,11,7,2,4379
Region05,30,50,75,47,64,1191,113,86,89,61,67,1609,34,23,26,14,3,2855
Region06,673,756,568,414,480,8237,1471,1287,1049,503,377,14330,91,78,58,29,1,20949
Region07,119,108,114,63,139,6947,347,180,68,8,50,7690,139,113,133,45,4,15574
Region08,57,50,20,7,25,1910,89,50,31,12,35,2205,48wk,10,21,20,2,3145
Region09,158,129,97,5,35,3421,124,101,92,14,1,3932,36,41,53,12,NA,5777
Region10,72,102,106,114,62,2807,109,108,165,118,63,3276,47,80,68,68,42,5272
Region11,178,190,199,137,232,5362,261,272,283,206,194,6468,126,108,171,123,75,9963
Region12,216,222,237,148,169,5846,416,440,320,195,58,7731,109,112,101,53,9,12570
ARMM,21,48,31,5,17,707,20,18,18,14,0,793,5,11,9,4,3,915
CAR,129,118,234,202,239,2112,380,305,283,291,225,4288,82,41,26,4,NA,8608
CARAGA,50,29,15,2,7,1367,50,25,31,30,16,1555,35,39,33,53,27,2653
NCR,132,183,173,168,181,4143,322,427,423,324,313,5797,298,324,235,183,104,16046
