Region-2015 data (Retro from 2016 Report),,Jan 24 to Jan 30,Jan 31 to Feb 6,Feb 14 to Feb 20,Mar 20 to Mar 26,Mar 27 to Apr 2,Apr 3 to Apr 9,May 8 to May 14,May 22 to May 28,May 29 to Jun 4,Jun 5 to Jun 11,Jun 19 to Jun 25,Jun 26 to Jul 2,Jul 3 to Jul 9,Jul 10 to Jul 16,Jan 1 to Jul 23,Jan 1 to Aug 6,Jan 1 to Aug 20,Jan 1 to Aug 27,Jan 1 to Sep 10,Jan 1 to Sep 24,Jan 1 to Nov 5,Jan 1 to Nov 12,Jan 1 to Nov 26,Jan 1 to Dec 31
Region01,,464,543,654,876,917,962,1273,1427,1552,1776,2318,2690,3095,3521,4020,5685,7702,8665,10541,12012,15459,15882,16557,17605
Region02,,431,525,659,947,988,1033,1392,1642,1826,2017,2664,3091,3539,4108,4701,5999,7799,8522,9573,10650,13122,13360,13706,13855
Region03,,1313,1600,2095,3022,3135,3259,3806,4023,4155,4272,4706,5063,5568,6193,7018,9258,12035,13424,16397,19712,29531,30927,33566,37047
Region04A,,1922,2352,3000,4184,4326,4490,5094,5350,5513,5836,6322,6670,7127,7626,8259,9993,11893,12954,15448,18527,29739,31239,33550,36033
Region04B,,125,152,182,313,326,341,400,438,483,611,754,828,910,1051,1211,1586,1933,2101,2424,2788,3341,3401,3492,3632
Region05,,128,155,196,270,281,289,350,389,413,424,469,501,543,584,636,791,952,1041,1170,1292,1670,1732,1837,2014
Region06,,313,385,532,794,829,880,1112,1203,1259,1439,1675,1822,2085,2377,2742,3571,4360,4771,5632,6466,8652,8960,9486,10353
Region07,,778,936,1185,1705,1785,1850,2073,2135,2175,2283,2432,2521,2632,2768,2958,3476,4042,4444,5340,6424,10648,11360,12527,14423
Region08,,140,191,261,420,437,454,521,544,552,580,610,631,666,721,762,842,916,952,1015,1081,1524,1652,1819,2011
Region09,,496,621,836,1328,1383,1463,1828,2074,2235,2412,2833,3051,3317,3553,3822,4259,4625,4800,5151,5469,6281,6403,6625,6982
Region10,,898,1103,1492,2232,2325,2435,2904,3110,3268,3354,3664,3847,4094,4310,4588,5110,5550,5771,6265,6772,8307,8578,9102,10303
Region11,,434,545,722,983,1013,1054,1269,1359,1422,1508,1679,1773,1899,2023,2181,2436,2670,2755,2975,3195,3837,4000,4254,5057
Region12,,420,553,799,1460,1570,1684,2203,2453,2611,2838,3261,3488,3828,4133,4418,5052,5599,5845,6283,6685,7920,8158,8512,9586
ARMM,,120,152,218,354,388,427,561,624,665,447,493,532,577,602,631,680,720,745,783,822,949,972,1007,1121
CAR,,183,220,287,381,395,407,527,611,646,931,1408,1749,2072,2398,2795,3794,4837,5283,6187,6978,8997,9210,9635,10403
CARAGA,,574,685,871,1213,1241,1281,1529,1597,1639,1645,1774,1842,1916,2032,2154,2396,2664,2782,3128,3470,4638,4856,5413,6701
NCR,,1696,2048,2617,3469,3588,3712,4184,4391,4513,4599,4964,5239,5573,5938,6446,7699,9114,10067,12516,15229,23152,24089,25436,26804
