Region-2016 data (Retro from 2017 report),Jan 1 to Feb 4,Jan 1 to Mar 5,Jan 1 to Apr 1,Jan 1 to May 6,Jan 1 to Jun 3,Jan 1 to Jul 1,Jan 1 to Aug 5,Jan to Sep 2,Jan 1 to Sep 30,Jan 1 to Nov 4,Jan 1 to Dec 2
Region01,824,1148,1410,1700,1901,2320,3893,5452,6766,7643,8139
Region02,782,1137,1320,1472,1566,1721,2235,3003,3433,3731,3869
Region03,2608,4108,4866,5416,5688,6168,8284,11395,14472,17551,19642
Region04A,3610,5424,6627,7548,8101,8991,11759,15212,18328,21386,23331
Region04B,277,463,691,917,1089,1400,2263,2990,3392,3739,3935
Region05,280,433,539,648,738,858,1157,1524,1860,2164,2419
Region06,1135,1802,2405,3094,3786,5268,11614,18538,22795,24859,25836
Region07,2025,3169,4407,5433,5991,6879,10055,14602,17937,22659,26318
Region08,564,934,1181,1468,1794,2291,3276,4050,4569,4960,5280
Region09,711,1126,1509,1880,2344,2984,4139,5081,5715,6378,6911
Region10,1779,2916,3796,4676,5339,6494,9369,12242,14374,16048,17080
Region11,1018,1639,2225,2896,3468,4608,7189,8966,9937,10898,11667
Region12,1457,2309,3004,3772,4489,6003,9446,11931,14047,16180,17937
ARMM,159,251,356,508,666,990,1485,1763,1991,2181,2364
CAR,671,965,1164,1485,2054,3672,6637,8530,9616,10197,10397
CARAGA,1315,2001,2501,3019,3512,4193,5095,5953,6587,7270,7879
NCR,1521,2519,3169,3633,3951,4457,6315,8705,11283,13870,15801
