Region - 2017 data (Retro from 2018 report),Jan 1 to Feb 3,Jan 1 to Feb 24,Jan 1 to Mar 30,Jan 1 to Apr 28,Jan 1 to May 27,Jan 1 to Jun 30,Jan 1 to Jul 28,Jan 1 to Oct 27,Jan 1 to Nov 24,Jan 1 to Dec 31
Region01,306,460,638,780,1002,1473,2318,6429,7285,8206
Region02,233,309,447,534,690,1037,1532,4081,4785,5306
Region03,2212,3111,4260,4747,5163,6127,8987,20092,22407,24865
Region04A,1693,2530,3493,3935,4416,5316,7286,16674,19403,22318
Region04B,301,460,618,662,775,1002,1288,2341,2540,2735
Region05,233,338,450,537,626,818,1133,2510,2831,3190
Region06,801,1117,1511,1759,2130,2931,4283,8647,9462,10302
Region07,2702,3892,5081,5689,6369,7130,8184,11881,12741,13735
Region08,745,1056,1435,1724,2023,2251,2627,3658,3943,4285
Region09,600,902,1226,1467,1854,2520,3202,4131,4391,4607
Region10,1141,14549,2128,2472,2913,3398,3922,5880,6254,6671
Region11,746,1093,1444,1636,1855,2093,2378,3155,3271,3551
Region12,1630,2247,2895,3762,4513,5231,5848,8677,9028,9432
ARMM,286,414,590,725,947,1149,1309,415,431,454
CAR,176,264,351,409,470,626,1093,3224,3610,3991
CARAGA,548,759,1039,1199,1387,1554,1711,2350,2465,2679
NCR,1771,2630,3752,4334,4994,6179,8778,21091,23732,25897
