Monthly Approximate Case Count (2018),Station,January,February,March,April,May,June,July,August,September,October,November,December
Region01,3,686,436,293,271,335,1110,3004,3853,1006,1006,864,1239
Region02,5,336,204,241,188,266,507,1781,3178,76.5,76.5,1083,2155
Region03,6,2393,1881,1425,563,690,1657,4135,6563,2756.5,2756.5,3442,2552
Region04A,6,2173,1731,1438,648,603,1165,3523,4724,1377,1377,3864,3082
Region04B,5,200,232,239,153,241,664,1222,1810,749.5,749.5,400,431
Region05,4,302,177,208,118,83,309,388,448,225,225,326,655
Region06,1,606,595,551,401,506,1353,2349,3190,1516,1516,1684,1855
Region07,3,643,583,553,326,334,839,1320,2986,1916.5,1916.5,4206,5056
Region08,6,485,327,313,227,301,656,596,1314,860,860,1840,1426
Region09,2,303,352,319,184,336,453,624,922,597,597,599,1021
Region10,2,415,479,770,656,805,1797,2887,3414,1143,1143,2369,2588
Region11,1,245,150,236,175,226,539,790,1010,396.5,396.5,823,919
Region12,1,348,377,510,278,574,922,1289,1085,349.5,349.5,571,1485
ARMM,1,140,127,97,81,150,318,380,308,171.5,171.5,176,244
CAR,1,303,154,219,101,193,534,1351,1477,362,362,595,678
CARAGA,2,262,313,253,178,226,534,708,976,534.5,534.5,793,1716
NCR,4,2025,1978,1621,723,603,1217,2070,4239,3530.5,3530.5,3734,2769
,,,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,November,December
Region01,,228.67,145.33,97.67,90.33,111.67,370.00,1001.33,1284.33,335.33,335.33,288.00,413.00
Region02,,67.20,40.80,48.20,37.60,53.20,101.40,356.20,635.60,15.30,15.30,216.60,431.00
Region03,,398.83,313.50,237.50,93.83,115.00,276.17,689.17,1093.83,459.42,459.42,573.67,425.33
Region04A,,362.17,288.50,239.67,108.00,100.50,194.17,587.17,787.33,229.50,229.50,644.00,513.67
Region04B,,40.00,46.40,47.80,30.60,48.20,132.80,244.40,362.00,149.90,149.90,80.00,86.20
Region05,,75.50,44.25,52.00,29.50,20.75,77.25,97.00,112.00,56.25,56.25,81.50,163.75
Region06,,606.00,595.00,551.00,401.00,506.00,1353.00,2349.00,3190.00,1516.00,1516.00,1684.00,1855.00
Region07,,214.33,194.33,184.33,108.67,111.33,279.67,440.00,995.33,638.83,638.83,1402.00,1685.33
Region08,,80.83,54.50,52.17,37.83,50.17,109.33,99.33,219.00,143.33,143.33,306.67,237.67
Region09,,151.50,176.00,159.50,92.00,168.00,226.50,312.00,461.00,298.50,298.50,299.50,510.50
Region10,,207.50,239.50,385.00,328.00,402.50,898.50,1443.50,1707.00,571.50,571.50,1184.50,1294.00
Region11,,245.00,150.00,236.00,175.00,226.00,539.00,790.00,1010.00,396.50,396.50,823.00,919.00
Region12,,348.00,377.00,510.00,278.00,574.00,922.00,1289.00,1085.00,349.50,349.50,571.00,1485.00
ARMM,,140.00,127.00,97.00,81.00,150.00,318.00,380.00,308.00,171.50,171.50,176.00,244.00
CAR,,303.00,154.00,219.00,101.00,193.00,534.00,1351.00,1477.00,362.00,362.00,595.00,678.00
CARAGA,,131.00,156.50,126.50,89.00,113.00,267.00,354.00,488.00,267.25,267.25,396.50,858.00
NCR,,506.25,494.50,405.25,180.75,150.75,304.25,517.50,1059.75,882.63,882.63,933.50,692.25
