Station,Region,Lat_North,Long_East,Year,Month,Date,Humidity,Rainfall,Temperature
"ALABAT, QUEZON",Region04A,14.10569444,122.01758889,2013,January,1-Jan-2013,85,181.1,26
,,,,2013,February,1-Feb-2013,86,216,26.6
,,,,2013,March,1-Mar-2013,84,69.8,27.1
,,,,2013,April,1-Apr-2013,81,4.4,28.6
,,,,2013,May,1-May-2013,83,73.5,29
,,,,2013,June,1-Jun-2013,84,280.4,28.8
,,,,2013,July,1-Jul-2013,89,384.3,27.8
,,,,2013,August,1-Aug-2013,90,181,27.8
,,,,2013,September,1-Sep-2013,90,213.3,27.2
,,,,2013,October,1-Oct-2013,89,379.1,27.2
,,,,2013,November,1-Nov-2013,91,749.5,27
,,,,2013,December,1-Dec-2013,91,450.1,26.6
,,,,2014,January,1-Jan-2014,85,120.4,24.9
,,,,2014,February,1-Feb-2014,88,94.2,25.3
,,,,2014,March,1-Mar-2014,87,123.1,26.3
,,,,2014,April,1-Apr-2014,85,25.8,28
,,,,2014,May,1-May-2014,84,50.8,29.5
,,,,2014,June,1-Jun-2014,85,95.3,29.1
,,,,2014,July,1-Jul-2014,84,297.7,28.4
,,,,2014,August,1-Aug-2014,83,166.3,28.1
,,,,2014,September,1-Sep-2014,88,437.4,27.1
,,,,2014,October,1-Oct-2014,88,439.7,27.3
,,,,2014,November,1-Nov-2014,87,686.9,26.9
,,,,2014,December,1-Dec-2014,89,889.6,25.6
,,,,2015,January,1-Jan-2015,84,238.8,25.1
,,,,2015,February,1-Feb-2015,84,147.5,25.3
,,,,2015,March,1-Mar-2015,82,81.4,26.3
,,,,2015,April,1-Apr-2015,83,63.9,27.7
,,,,2015,May,1-May-2015,81,29,29.1
,,,,2015,June,1-Jun-2015,84,143.2,29
,,,,2015,July,1-Jul-2015,83,90.3,28.4
,,,,2015,August,1-Aug-2015,84,159,28.4
,,,,2015,September,1-Sep-2015,86,245.9,28.4
,,,,2015,October,1-Oct-2015,84,261.5,27.9
,,,,2015,November,1-Nov-2015,84,383.1,27.5
,,,,2015,December,1-Dec-2015,86,539,26.8
,,,,2016,January,1-Jan-2016,86,236.4,26.3
,,,,2016,February,1-Feb-2016,84,335.6,25.7
,,,,2016,March,1-Mar-2016,86,365.8,26.7
,,,,2016,April,1-Apr-2016,82,19.2,28.5
,,,,2016,May,1-May-2016,82,54.7,29.2
,,,,2016,June,1-Jun-2016,86,176,29
,,,,2016,July,1-Jul-2016,83,104.2,28.6
,,,,2016,August,1-Aug-2016,80,30.7,29
